date,direction,target,drone_count,hour
2024-06-17,North,Power station,20,2
2024-06-18,Northwest,Railway hub,42,10
2024-06-18,Northwest,Power station,37,14
2024-06-18,Northeast,Railway hub,4,3
2024-06-18,Northwest,Military base,9,14
2024-06-19,Northeast,Power station,29,21
2024-06-19,Northwest,Power station,38,17
2024-06-24,Northwest,Power station,16,21
2024-06-25,North,Power station,41,8
2024-06-27,Northwest,Power station,7,7
2024-06-30,Northeast,Railway hub,38,13
2024-07-04,Northwest,Power station,22,7
2024-07-04,Northwest,Power station,42,15
2024-07-07,Northwest,Fuel depot,33,17
2024-07-10,West,Power station,13,17
2024-07-13,Northwest,Fuel depot,20,13
2024-07-13,Northwest,Power station,14,19
2024-07-14,Northeast,Railway hub,27,21
2024-07-15,West,Railway hub,34,12
2024-07-15,Northwest,Bridge,15,19
2024-07-18,North,Bridge,29,17
2024-07-20,East,Fuel depot,40,18
2024-07-23,Northeast,Railway hub,26,14
2024-07-24,Northeast,Fuel depot,38,1
2024-07-25,North,Military base,10,18
2024-07-28,West,Power station,31,22
2024-07-29,Northwest,Railway hub,5,10
2024-07-31,Northwest,Fuel depot,33,15
2024-08-03,Northwest,Power station,27,18
2024-08-04,Northwest,Power station,14,8
2024-08-07,Northeast,Power station,11,14
2024-08-12,Northeast,Military base,10,14
2024-08-13,West,Fuel depot,24,5
2024-08-13,Northwest,Power station,7,22
2024-08-18,Northwest,Bridge,31,9
2024-08-20,North,Bridge,21,13
2024-08-21,West,Railway hub,29,20
2024-08-23,East,Railway hub,12,13
2024-08-25,Northwest,Power station,39,19
2024-08-28,Northwest,Railway hub,17,6
2024-08-28,North,Railway hub,36,20
2024-08-28,Northeast,Military base,25,13
2024-08-30,West,Bridge,10,18
2024-08-30,East,Fuel depot,18,15
2024-08-31,West,Bridge,34,14
2024-09-01,East,Bridge,10,2
2024-09-04,Northeast,Railway hub,32,13
2024-09-07,West,Bridge,19,1
2024-09-07,Northwest,Railway hub,9,13
2024-09-08,East,Railway hub,9,0
2024-09-10,Northeast,Fuel depot,23,5
2024-09-18,Northwest,Fuel depot,33,23
2024-09-20,Northwest,Power station,42,10
2024-09-23,North,Fuel depot,37,21
2024-09-27,Northwest,Military base,19,17
2024-09-27,East,Military base,3,21
2024-09-28,Northwest,Railway hub,13,1
2024-09-29,Northwest,Power station,11,4
2024-10-01,Northeast,Railway hub,10,12
2024-10-01,Northeast,Fuel depot,14,6
2024-10-03,Northwest,Power station,11,23
2024-10-03,North,Railway hub,3,2
2024-10-05,Northwest,Power station,22,19
2024-10-06,Northwest,Power station,8,18
2024-10-08,West,Fuel depot,24,11
2024-10-10,Northwest,Railway hub,12,8
2024-10-10,Northwest,Military base,21,22
2024-10-11,Northeast,Railway hub,34,4
2024-10-13,Northeast,Railway hub,41,10
2024-10-14,Northwest,Fuel depot,3,3
2024-10-16,West,Power station,5,11
2024-10-21,East,Power station,27,15
2024-10-22,East,Power station,15,8
2024-10-23,Northeast,Railway hub,34,4
2024-10-24,Northeast,Fuel depot,19,1
2024-10-26,Northwest,Power station,30,20
2024-10-28,Northwest,Power station,36,19
2024-11-01,Northwest,Fuel depot,7,12
2024-11-04,Northeast,Railway hub,17,15
2024-11-06,Northwest,Fuel depot,41,19
2024-11-06,Northwest,Fuel depot,23,14
2024-11-09,East,Military base,35,13
2024-11-13,Northwest,Bridge,8,13
2024-11-16,West,Power station,22,20
2024-11-17,North,Bridge,42,11
2024-11-18,Northwest,Power station,6,4
2024-11-22,Northwest,Power station,20,16
2024-11-23,Northwest,Military base,38,7
2024-11-24,East,Bridge,35,12
2024-11-28,West,Fuel depot,37,13
2024-11-28,East,Bridge,7,20
2024-11-29,Northwest,Bridge,20,19
2024-12-01,Northeast,Fuel depot,34,12
2024-12-04,Northeast,Railway hub,15,13
2024-12-05,Northeast,Fuel depot,9,4
2024-12-09,Northeast,Railway hub,15,11
2024-12-15,Northwest,Power station,7,19
2024-12-21,Northwest,Power station,12,22
2024-12-22,Northwest,Railway hub,36,14
2024-12-22,Northeast,Fuel depot,21,17
2024-12-23,Northwest,Power station,34,3
2024-12-28,Northwest,Power station,37,4
